IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
41910;Jesper;Lidmar;SWE;307;5939;5;1187.8;
18891;Sven;Hellmueller;SUI;307;5939;5;1187.8;
20165;William;Pommer;SWE;307;5939;5;1187.8;
10273;Csaba;Gosswein;HUN;310;5938;5;1187.6;
32324;Rihards;Krumins;LAT;310;5938;5;1187.6;
32873;Oyvind;Hjermstad;NOR;312;5936;5;1187.2;
22504;Anatoli;Fomiciov;MDA;312;5936;5;1187.2;
41312;Fredrik;Hamrefors;SWE;314;5935;5;1187.0;
18897;Jannis;Schoenleber;GER;314;5935;5;1187.0;
12095;Michal;Krajcik;SVK;316;5931;5;1186.2;
23276;Christian;Michelsen;CAN;317;5930;5;1186.0;
37640;Leo;Johansson;SWE;318;5929;5;1185.8;
14543;Francois;Van der Ouderaa;BEL;319;5926;5;1185.2;
23208;Silvan;Ullmann;SUI;320;5925;5;1185.0;
8138;Rickard;Borjesson;SWE;320;5925;5;1185.0;
32969;Juho;Korpi;FIN;322;5924;5;1184.8;
41909;Valter;Pettersson;SWE;322;5924;5;1184.8;
15055;Flavio;Poltera;SUI;324;5923;5;1184.6;
18818;Axel;Wradhe;SWE;325;5921;5;1184.2;
18340;Giacomo;Zagonel;ITA;326;5919;5;1183.8;
43824;Joar;Hertin;SWE;327;5917;5;1183.4;
26733;Oskar Spets;Storhov;NOR;328;5915;5;1183.0;
42795;Halvor Tornqvist;Halden;NOR;329;5914;5;1182.8;
28021;Mykyta;Zviahin;UKR;330;5913;5;1182.6;
28539;Guillaume;Wyrsch;SUI;330;5913;5;1182.6;
10811;Severin;Howald;SUI;332;5911;5;1182.2;
42888;Tim;Johansson;SWE;333;5910;5;1182.0;
34134;Vasco;Mendes;POR;333;5910;5;1182.0;
23850;Erling;Hjermstad;NOR;335;5908;5;1181.6;
43841;Anders;Haugskott;NOR;336;5906;5;1181.2;
33659;Pablo;Ferrando;ESP;337;5904;5;1180.8;
32922;Lucas;Sundblad;SWE;338;5903;5;1180.6;
33239;Peter;Molloy;GBR;339;5902;5;1180.4;
24079;Luc;Sandevoir;FRA;340;5901;5;1180.2;
7137;Sven;Aschwanden;SUI;341;5898;5;1179.6;
42114;Joschi;Schmid;SUI;341;5898;5;1179.6;
28160;Aleksi;Sopo;FIN;343;5897;5;1179.4;
19918;Adrien;Delenne;FRA;344;5896;5;1179.2;
16365;Ivan;Sirakov;BUL;345;5894;5;1178.8;
24793;Eemeli;Suominen;FIN;346;5893;5;1178.6;
33908;Julien;Vuitton;FRA;347;5891;5;1178.2;
8363;Alan;Cherry;GBR;347;5891;5;1178.2;
37648;Pascal;Schaerer;SUI;349;5890;5;1178.0;
19809;Frantisek;Kolovsky;CZE;349;5890;5;1178.0;
8774;Sindre;Oestgulen Deisz;NOR;351;5885;5;1177.0;
23494;Sindre;Johannessen;NOR;352;5884;5;1176.8;
11275;Vegard;Blomseth Johnsen;NOR;352;5884;5;1176.8;
43868;Emil;Bjornlinger;SWE;354;5883;5;1176.6;
27428;David;Zuercher;SUI;355;5882;5;1176.4;
8703;Oskar;Daniels;SWE;355;5882;5;1176.4;
33906;Thomas;Radondy;FRA;357;5881;5;1176.2;
20390;Thomas;Wilson;GBR;358;5879;5;1175.8;
38972;Siro;Corsi;SUI;359;5878;5;1175.6;
22591;Simon;Krekels;BEL;360;5875;5;1175.0;
18286;Teodor;Yordanov;BUL;360;5875;5;1175.0;
24205;Otto;Kaario;FIN;362;5874;5;1174.8;
43672;Daniel;Bogren;SWE;363;5872;5;1174.4;
22724;Tuukka;Senttula;FIN;363;5872;5;1174.4;
41949;Euan;Tryner;GBR;365;5868;5;1173.6;
7613;Gene;Beveridge;NZL;366;5865;5;1173.0;
27397;Jonathan;Ray;FIN;367;5862;5;1172.4;
14943;Peeter;Pihl;EST;368;5861;5;1172.2;
28139;Stanislav;Polianytsia;UKR;369;5860;5;1172.0;
22790;Petja;Ylikyla;FIN;369;5860;5;1172.0;
28594;Otakar;Hirs;CZE;371;5857;5;1171.4;
42399;Peter;Nagy;HUN;372;5855;5;1171.0;
33890;Oscar David Broman;Jensen;DEN;373;5853;5;1170.6;
28627;Kylian;Wymer;FRA;374;5852;5;1170.4;
41753;Eero;Turkki;FIN;374;5852;5;1170.4;
26514;Samuele;Tait;ITA;376;5851;5;1170.2;
31998;Emils;Zernis;LAT;376;5851;5;1170.2;
17607;Luukas;Valtonen;FIN;378;5849;5;1169.8;
25190;Jimmy;Larsson;SWE;378;5849;5;1169.8;
32482;Rotem;Yasur;ISR;380;5848;5;1169.6;
23886;Archibald;Soguel;SUI;381;5847;5;1169.4;
37649;Benjamin;Wey;SUI;381;5847;5;1169.4;
32645;Janne;Ovaska;FIN;383;5844;5;1168.8;
19993;Topias;Ahola;FIN;383;5844;5;1168.8;
20276;James;Ackland;GBR;385;5842;5;1168.4;
38443;Aapo;Tonder;FIN;385;5842;5;1168.4;
43632;Nils;Tveite;NOR;385;5842;5;1168.4;
28387;Valters;Reneslacis;LAT;388;5841;5;1168.2;
14402;Anders Felde;Olaussen;NOR;388;5841;5;1168.2;
28435;Lauri;Syrjalainen;FIN;390;5840;5;1168.0;
32086;Emil;Sevelius;FIN;390;5840;5;1168.0;
41241;Zefa;Faavae;NZL;392;5837;5;1167.4;
37748;Elias Hinge;Krogsgaard;DEN;393;5835;5;1167.0;
39544;Jim;Bailey;GBR;394;5833;5;1166.6;
24801;Joona;Huila;FIN;394;5833;5;1166.6;
18892;Thomas;Curiger;USA;396;5832;5;1166.4;
44413;Jesper;Johansson;SWE;397;5831;5;1166.2;
42732;Alvaro;Garcia Bernabeu;ESP;398;5825;5;1165.0;
21545;Paul;Pruzina;IRL;399;5823;5;1164.6;
46003;Henrik;Petrisi;SWE;399;5823;5;1164.6;
